"인허가번호","시도","시군구","법정동","대지구분","번","지","허가구분","허가번호","허가일","관리기관","건축구분","대지위치","지목","대지면적___","건축면적___","건폐율___","연면적___","용적률산전용면적___","용적률___","건축물명칭","주용도","주건축물수","부속건축물수","주차장_자주식_옥내_대_","주차장_자주식_옥외_대_","주차장_자주식_인근_대_","주차장_기계식_옥내_대_","주차장_기계식_옥외_대_","주차장_기계식_인근_대_","주차장_면제_대_","착공구분","착공예정일","착공처리일","사용승인구분","사용승인일","동명칭","주용도_동_","대표용도_동_","세대수_동_","호수_동_","가구수_동_","주구조_동_","기타구조_동_","지붕구조_동_","건축면적_동____","연면적_동____","용적률산정용면적_동____","지하층수_동_","지상층수_동_","높이_m_","승용승강기수_동_","비상용승강기수_동_","건축주상호명","시공자_상호명","시공자_등록번호","설계자_사무소명","설계자_등록번호","감리자_사무소명","감리자_등록번호"
"26710-100107514","부산광역시","기장군","기장읍 시랑리","대지","0240","0000","신축허가","2019-창조건축과-신축허가-163","20191210","부산시기장군","신축",,"답",110926,32449.19,29.253,77861.93,46831.99,42.2191,"친환경 리조트-2","숙박시설",106,0,289,58,0,384,0,289,0,"착공","20200611","20200626",,,"단독빌라B06","숙박시설","휴양콘도미니엄",0,1,0,"철근콘크리트구조",,"(철근)콘크리트",216.99,197.7,197.7,0,1,5.85,"0","0",,"신세계건설(주)","2018144158","주식회사이앤건축사사무소","1328187318","주식회사이앤건축사사무소","1328187318"
"26710-100107514","부산광역시","기장군","기장읍 시랑리","대지","0240","0000","신축허가","2019-창조건축과-신축허가-163","20191210","부산시기장군","신축",,"답",110926,32449.19,29.253,77861.93,46831.99,42.2191,"친환경 리조트-2","숙박시설",106,0,289,58,0,384,0,289,0,"착공","20200611","20200626",,,"단독빌라A09","숙박시설","휴양콘도미니엄",0,1,0,"철근콘크리트구조",,"(철근)콘크리트",189.79,170.55,170.55,0,1,5.85,"0","0",,"신세계건설(주)","2018144158","주식회사이앤건축사사무소","1328187318","주식회사이앤건축사사무소","1328187318"
"26710-100107514","부산광역시","기장군","기장읍 시랑리","대지","0240","0000","신축허가","2019-창조건축과-신축허가-163","20191210","부산시기장군","신축",,"답",110926,32449.19,29.253,77861.93,46831.99,42.2191,"친환경 리조트-2","숙박시설",106,0,289,58,0,384,0,289,0,"착공","20200611","20200626",,,"단독빌라C04","숙박시설","휴양콘도미니엄",0,1,0,"철근콘크리트구조",,"(철근)콘크리트",219.52,198.04,198.04,0,1,5.85,"0","0",,"신세계건설(주)","2018144158","주식회사이앤건축사사무소","1328187318","주식회사이앤건축사사무소","1328187318"
"26710-100107514","부산광역시","기장군","기장읍 시랑리","대지","0240","0000","신축허가","2019-창조건축과-신축허가-163","20191210","부산시기장군","신축",,"답",110926,32449.19,29.253,77861.93,46831.99,42.2191,"친환경 리조트-2","숙박시설",106,0,289,58,0,384,0,289,0,"착공","20200611","20200626",,,"단독빌라A17","숙박시설","휴양콘도미니엄",0,1,0,"철근콘크리트구조",,"(철근)콘크리트",189.79,170.55,170.55,0,1,5.85,"0","0",,"신세계건설(주)","2018144158","주식회사이앤건축사사무소","1328187318","주식회사이앤건축사사무소","1328187318"
"26710-100107514","부산광역시","기장군","기장읍 시랑리","대지","0240","0000","신축허가","2019-창조건축과-신축허가-163","20191210","부산시기장군","신축",,"답",110926,32449.19,29.253,77861.93,46831.99,42.2191,"친환경 리조트-2","숙박시설",106,0,289,58,0,384,0,289,0,"착공","20200611","20200626",,,"단독빌라A20","숙박시설","휴양콘도미니엄",0,1,0,"철근콘크리트구조",,"(철근)콘크리트",189.79,170.55,170.55,0,1,5.85,"0","0",,"신세계건설(주)","2018144158","주식회사이앤건축사사무소","1328187318","주식회사이앤건축사사무소","1328187318"
"26710-100107514","부산광역시","기장군","기장읍 시랑리","대지","0240","0000","신축허가","2019-창조건축과-신축허가-163","20191210","부산시기장군","신축",,"답",110926,32449.19,29.253,77861.93,46831.99,42.2191,"친환경 리조트-2","숙박시설",106,0,289,58,0,384,0,289,0,"착공","20200611","20200626",,,"단독빌라A37","숙박시설","휴양콘도미니엄",0,1,0,"철근콘크리트구조",,"(철근)콘크리트",189.79,170.55,170.55,0,1,5.85,"0","0",,"신세계건설(주)","2018144158","주식회사이앤건축사사무소","1328187318","주식회사이앤건축사사무소","1328187318"
"26710-100107514","부산광역시","기장군","기장읍 시랑리","대지","0240","0000","신축허가","2019-창조건축과-신축허가-163","20191210","부산시기장군","신축",,"답",110926,32449.19,29.253,77861.93,46831.99,42.2191,"친환경 리조트-2","숙박시설",106,0,289,58,0,384,0,289,0,"착공","20200611","20200626",,,"단독빌라A07","숙박시설","휴양콘도미니엄",0,1,0,"철근콘크리트구조",,"(철근)콘크리트",189.79,170.55,170.55,0,1,5.85,"0","0",,"신세계건설(주)","2018144158","주식회사이앤건축사사무소","1328187318","주식회사이앤건축사사무소","1328187318"
"26710-100107514","부산광역시","기장군","기장읍 시랑리","대지","0240","0000","신축허가","2019-창조건축과-신축허가-163","20191210","부산시기장군","신축",,"답",110926,32449.19,29.253,77861.93,46831.99,42.2191,"친환경 리조트-2","숙박시설",106,0,289,58,0,384,0,289,0,"착공","20200611","20200626",,,"단독빌라B11","숙박시설","휴양콘도미니엄",0,1,0,"철근콘크리트구조",,"(철근)콘크리트",216.99,197.7,197.7,0,1,5.85,"0","0",,"신세계건설(주)","2018144158","주식회사이앤건축사사무소","1328187318","주식회사이앤건축사사무소","1328187318"
"26710-100107514","부산광역시","기장군","기장읍 시랑리","대지","0240","0000","신축허가","2019-창조건축과-신축허가-163","20191210","부산시기장군","신축",,"답",110926,32449.19,29.253,77861.93,46831.99,42.2191,"친환경 리조트-2","숙박시설",106,0,289,58,0,384,0,289,0,"착공","20200611","20200626",,,"단독빌라A50","숙박시설","휴양콘도미니엄",0,1,0,"철근콘크리트구조",,"(철근)콘크리트",189.79,170.55,170.55,0,1,5.85,"0","0",,"신세계건설(주)","2018144158","주식회사이앤건축사사무소","1328187318","주식회사이앤건축사사무소","1328187318"
"26710-100107514","부산광역시","기장군","기장읍 시랑리","대지","0240","0000","신축허가","2019-창조건축과-신축허가-163","20191210","부산시기장군","신축",,"답",110926,32449.19,29.253,77861.93,46831.99,42.2191,"친환경 리조트-2","숙박시설",106,0,289,58,0,384,0,289,0,"착공","20200611","20200626",,,"단독빌라A13","숙박시설","휴양콘도미니엄",0,1,0,"철근콘크리트구조",,"(철근)콘크리트",189.79,170.55,170.55,0,1,5.85,"0","0",,"신세계건설(주)","2018144158","주식회사이앤건축사사무소","1328187318","주식회사이앤건축사사무소","1328187318"
"26710-100107514","부산광역시","기장군","기장읍 시랑리","대지","0240","0000","신축허가","2019-창조건축과-신축허가-163","20191210","부산시기장군","신축",,"답",110926,32449.19,29.253,77861.93,46831.99,42.2191,"친환경 리조트-2","숙박시설",106,0,289,58,0,384,0,289,0,"착공","20200611","20200626",,,"단독빌라A49","숙박시설","휴양콘도미니엄",0,1,0,"철근콘크리트구조",,"(철근)콘크리트",189.79,170.55,170.55,0,1,5.85,"0","0",,"신세계건설(주)","2018144158","주식회사이앤건축사사무소","1328187318","주식회사이앤건축사사무소","1328187318"
"26710-100107514","부산광역시","기장군","기장읍 시랑리","대지","0240","0000","신축허가","2019-창조건축과-신축허가-163","20191210","부산시기장군","신축",,"답",110926,32449.19,29.253,77861.93,46831.99,42.2191,"친환경 리조트-2","숙박시설",106,0,289,58,0,384,0,289,0,"착공","20200611","20200626",,,"단독빌라A39","숙박시설","휴양콘도미니엄",0,1,0,"철근콘크리트구조",,"(철근)콘크리트",189.79,170.55,170.55,0,1,5.85,"0","0",,"신세계건설(주)","2018144158","주식회사이앤건축사사무소","1328187318","주식회사이앤건축사사무소","1328187318"
"26710-100107514","부산광역시","기장군","기장읍 시랑리","대지","0240","0000","신축허가","2019-창조건축과-신축허가-163","20191210","부산시기장군","신축",,"답",110926,32449.19,29.253,77861.93,46831.99,42.2191,"친환경 리조트-2","숙박시설",106,0,289,58,0,384,0,289,0,"착공","20200611","20200626",,,"단독빌라A43","숙박시설","휴양콘도미니엄",0,1,0,"철근콘크리트구조",,"(철근)콘크리트",189.79,170.55,170.55,0,1,5.85,"0","0",,"신세계건설(주)","2018144158","주식회사이앤건축사사무소","1328187318","주식회사이앤건축사사무소","1328187318"
"26710-100107514","부산광역시","기장군","기장읍 시랑리","대지","0240","0000","신축허가","2019-창조건축과-신축허가-163","20191210","부산시기장군","신축",,"답",110926,32449.19,29.253,77861.93,46831.99,42.2191,"친환경 리조트-2","숙박시설",106,0,289,58,0,384,0,289,0,"착공","20200611","20200626",,,"단독빌라A44","숙박시설","휴양콘도미니엄",0,1,0,"철근콘크리트구조",,"(철근)콘크리트",189.79,170.55,170.55,0,1,5.85,"0","0",,"신세계건설(주)","2018144158","주식회사이앤건축사사무소","1328187318","주식회사이앤건축사사무소","1328187318"
"26710-100107514","부산광역시","기장군","기장읍 시랑리","대지","0240","0000","신축허가","2019-창조건축과-신축허가-163","20191210","부산시기장군","신축",,"답",110926,32449.19,29.253,77861.93,46831.99,42.2191,"친환경 리조트-2","숙박시설",106,0,289,58,0,384,0,289,0,"착공","20200611","20200626",,,"법인형 연립","숙박시설","휴양콘도미니엄",0,12,0,"철근콘크리트구조",,"(철근)콘크리트",2065.71,8693.39,7316.46,1,4,22,"3","0",,"신세계건설(주)","2018144158","주식회사이앤건축사사무소","1328187318","주식회사이앤건축사사무소","1328187318"
